artist,song,duration_ms,explicit,year,popularity,key,tempo,genre
Mis-Teeq,All I Want - Sunship Radio Edit,207400,FALSE,2004,46,9,134.079,"pop, Dance/Electronic"
Jagged Edge,Promise,246720,FALSE,2000,56,5,128.002,"hip hop, pop, R&B"
S Club 7,Have You Ever,201533,FALSE,2001,60,0,139.909,pop
Enya,Only Time,218546,FALSE,2000,69,3,82.803,"World/Traditional, Folk/Acoustic"
Faith Hill,There You'll Be,222120,FALSE,2001,60,8,128.98,"pop, country"
Ronan Keating,Lovin' Each Day,212973,FALSE,2000,58,1,106.676,"pop, rock"
Destiny's Child,Bootylicious,207906,FALSE,2001,64,1,103.376,"pop, R&B"
Steps,It's the Way You Make Me Feel,197360,FALSE,2000,53,8,105.006,"pop, Dance/Electronic"
Sunshine Anderson,Heard It All Before,295826,FALSE,2001,56,3,96.951,"pop, R&B"
Lenny Kravitz,Again,231666,FALSE,2000,68,2,79.166,"rock, pop"
Daniel Bedingfield,Gotta Get Thru This - D'N'D Radio Edit,162333,FALSE,2002,46,7,133.592,pop
DB Boulevard,Point Of View - Radio Edit,231166,FALSE,2018,0,6,129.006,Dance/Electronic
Janet Jackson,All For You,329933,FALSE,2001,65,2,113.525,"pop, R&B"
Atomic Kitten,Whole Again,185013,FALSE,2001,66,4,94.019,pop
Ja Rule,Livin' It Up,257066,FALSE,2001,64,6,106.095,"hip hop, pop, R&B"
Destiny's Child,"Independent Women, Pt. 1",221133,FALSE,2001,65,6,97.954,"pop, R&B"
DJ Pied Piper & The Masters Of Ceremonies,Do You Really Like It? - Radio Edit,217120,FALSE,2001,54,2,131.044,Dance/Electronic
Jennifer Lopez,I'm Real (feat. Ja Rule) - Murder Remix,262133,TRUE,2001,66,11,83.46,"hip hop, pop, R&B"
Musiq Soulchild,Love,304666,FALSE,2000,0,1,99.738,"pop, R&B"
So Solid Crew,21 Seconds,302826,TRUE,2001,51,1,137.03,Dance/Electronic
Robbie Williams,Eternity,302760,FALSE,2001,48,10,77.967,"pop, rock"
Basement Jaxx,Romeo,217493,FALSE,2001,0,2,126.853,"pop, Dance/Electronic"
Ludacris,Southern Hospitality (Featuring Pharrell),300933,TRUE,2000,54,0,95.158,"hip hop, pop"
Gabrielle,Rise,219093,FALSE,2001,60,8,144.673,"pop, R&B"
Nelly,Ride Wit Me,291781,TRUE,2000,75,7,101.875,"hip hop, pop, R&B"
Trick Daddy,I'm a Thug,254400,TRUE,2001,59,11,139.976,"hip hop, pop"
Travis,Sing,228800,FALSE,2001,68,4,163.142,"rock, pop"
JAY-Z,Izzo (H.O.V.A.),240626,TRUE,2001,63,1,84.411,hip hop
Gabrielle,Out Of Reach,196986,FALSE,2001,69,11,182.862,"pop, R&B"
OPM,Heaven Is a Halfpipe (If I Die),257426,TRUE,2000,56,8,95.9,rock
K-Ci & JoJo,Crazy,262773,FALSE,2019,30,0,116.097,"pop, R&B"
Staind,It's Been Awhile,264706,TRUE,2001,64,6,116.529,"rock, metal"
3LW,No More (Baby I'ma Do Right),263440,FALSE,2000,56,2,88.933,"pop, R&B"
Ginuwine,Differences,265533,FALSE,2001,65,3,62.876,"hip hop, pop, R&B"
*NSYNC,Gone,292000,FALSE,2001,45,11,113.922,pop
Lifehouse,Hanging By A Moment,216360,FALSE,2000,61,1,124.599,"pop, rock, metal"
Nelly,Dilemma,289160,TRUE,2002,77,2,168.189,"hip hop, pop, R&B"
Eminem,Without Me,290320,TRUE,2002,87,7,112.238,hip hop
Avril Lavigne,Complicated,244506,FALSE,2002,78,5,77.987,pop
Vanessa Carlton,A Thousand Miles,237493,FALSE,2002,75,11,94.931,"Folk/Acoustic, pop"
The Calling,Wherever You Will Go,208600,FALSE,2001,72,2,112.027,pop
Shakira,Underneath Your Clothes,224066,FALSE,2001,64,8,165.508,"pop, latin"
No Doubt,Underneath It All,302720,FALSE,2001,27,4,138.202,"rock, pop"
Truth Hurts,Addictive,226440,TRUE,2002,58,11,99.271,"pop, R&B"
Busta Rhymes,I Know What You Want (feat. Flipmode Squad),324306,TRUE,2002,68,6,85.996,"hip hop, pop"
Eminem,'Till I Collapse,297786,TRUE,2002,85,1,171.447,hip hop
Diddy,"I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans]",285586,FALSE,2004,69,1,199.764,"hip hop, pop"
Christina Milian,When You Look At Me - Radio Edit,222546,FALSE,2001,60,3,108.955,"hip hop, pop, R&B"
Madonna,Die Another Day,276360,FALSE,2003,53,0,123.993,pop
Jennifer Lopez,I'm Gonna Be Alright (feat. Nas),172240,FALSE,2002,53,10,93.401,"hip hop, pop, R&B"
Angie Martinez,If I Could Go! (feat. Lil' Mo & Sacario),244466,FALSE,2019,40,9,195.685,pop
Linkin Park,In the End,216880,FALSE,2000,83,3,105.143,"rock, metal"
Las Ketchup,The Ketchup Song (Aserejé) - Spanglish Version,213973,FALSE,2002,66,1,184.819,pop
Aaliyah,Rock The Boat,275026,FALSE,2019,0,5,92.988,"hip hop, pop, R&B"
Holly Valance,Kiss Kiss,204400,FALSE,2002,54,4,97.036,"pop, Dance/Electronic"
Sugababes,Round Round,236426,FALSE,2002,59,6,126.607,"pop, R&B"
Marilyn Manson,Tainted Love,200426,FALSE,2003,60,8,142.017,"rock, metal"
Brandy,What About Us?,253200,FALSE,2002,43,5,93.118,"hip hop, pop, R&B"
Chad Kroeger,Hero (feat. Josey Scott),200480,FALSE,2003,66,4,147.387,metal
Britney Spears,Overprotected - Radio Edit,198600,FALSE,2001,61,0,95.992,pop
Scooter,The Logical Song,234116,FALSE,2013,46,6,144.043,"pop, Dance/Electronic"
Missy Elliott,4 My People (feat. Eve),289373,TRUE,2001,49,1,121.392,"hip hop, pop, R&B"
Aaliyah,More Than A Woman,230346,FALSE,2002,42,11,86.994,"hip hop, pop, R&B"
Brandy,Full Moon,248933,FALSE,2002,52,10,105.922,"hip hop, pop, R&B"
Blue,One Love,207186,FALSE,2002,60,8,95.012,pop
Busta Rhymes,Pass The Courvoisier Part II (feat. P. Diddy & Pharrell) - Remix,238600,TRUE,2001,55,6,89.767,"hip hop, pop"
Céline Dion,A New Day Has Come - Radio Remix,259773,FALSE,2001,59,6,91.969,pop
Scooter,Nessaja,208449,FALSE,2013,47,2,143.048,"pop, Dance/Electronic"
Eve,Gangsta Lovin',239266,TRUE,2002,58,1,94.332,"hip hop, pop, R&B"
Disturbing Tha Peace,Move Bitch,272293,TRUE,2002,59,1,177.894,"hip hop, pop"
Khia,"My Neck, My Back (Lick It)",222560,TRUE,2015,59,9,102.072,"pop, R&B"
Tweet,Oops (Oh My) [feat. Missy Elliott],237800,TRUE,2002,64,10,159.963,"hip hop, pop, R&B"
Kylie Minogue,Spinning Around,207866,FALSE,2000,55,6,120.043,"pop, Dance/Electronic"
Nelly,Hot In Herre,228240,TRUE,2002,75,11,107.075,"hip hop, pop, R&B"
Gareth Gates,Anyone of Us (Stupid Mistake),227866,FALSE,2003,53,1,106.986,pop
Christina Aguilera,Dirrty (feat. Redman),298853,FALSE,2002,68,2,99.931,pop
B2K,Uh Huh,223293,FALSE,2002,49,2,99.699,"hip hop, pop, R&B"
Sugababes,Freak Like Me,195866,FALSE,2002,45,5,91.868,"pop, R&B"
Dirty Vegas,Days Go By,432146,FALSE,2002,48,9,126.99,Dance/Electronic
Fat Joe,What's Luv? (feat. Ja-Rule & Ashanti),267093,TRUE,2001,73,8,93.955,"hip hop, pop"
Liberty X,Just A Little,237359,FALSE,2019,43,5,103.887,pop
No Doubt,Hella Good,242586,FALSE,2001,26,8,115.142,"rock, pop"
LL Cool J,Luv U Better,287000,FALSE,2002,2,6,95.022,"hip hop, pop, R&B"
Red Hot Chili Peppers,Can't Stop,269000,FALSE,2002,80,9,91.455,rock
Musiq Soulchild,Halfcrazy,254493,FALSE,2002,58,11,101.955,"pop, R&B"
Sean Paul,Gimme the Light,228000,TRUE,2002,59,2,107.288,"hip hop, pop"
Faith Evans,I Love You,267160,FALSE,2001,53,11,168.004,"hip hop, pop, R&B"
Charli Baltimore,Down 4 U,318213,TRUE,2002,47,7,83.133,pop
Kylie Minogue,Love at First Sight,238266,FALSE,2001,55,3,124.994,"pop, Dance/Electronic"
N.O.R.E.,Nothin',264653,TRUE,2002,58,3,97.035,"hip hop, pop"
Gareth Gates,Unchained Melody,233666,FALSE,2003,35,10,106.52,pop
Diddy,I Need a Girl (Pt. 1) [feat. Usher & Loon],268800,FALSE,2005,63,6,89.279,"hip hop, pop"
Big Brovaz,Nu Flow,201480,FALSE,2001,45,7,148.062,pop
No Doubt,Hey Baby,207040,FALSE,2001,24,11,93.63,"rock, pop"
Ashanti,Baby,265706,TRUE,2002,55,4,157.596,"hip hop, pop, R&B"
Sophie Ellis-Bextor,Murder On The Dancefloor,230013,FALSE,2002,62,1,117.31,"pop, Dance/Electronic"
Justin Timberlake,Like I Love You,283626,FALSE,2002,62,6,114.964,pop
Mary J. Blige,Rainy Dayz,276373,FALSE,2001,32,6,68.942,"pop, R&B"
A1,Caught in the Middle,206466,FALSE,2001,53,5,96.072,pop
Eminem,Cleanin' Out My Closet,297840,TRUE,2002,71,9,148.015,hip hop
Ashanti,Happy,262226,TRUE,2002,61,2,89.488,"hip hop, pop, R&B"
Delta Goodrem,Born to Try,251280,FALSE,2003,54,8,133.838,pop
P!nk,Get the Party Started,192533,FALSE,2001,68,11,128.93,pop
Alicia Keys,A Woman's Worth,303333,FALSE,2001,52,4,75.09,"pop, R&B"
Daniel Bedingfield,Gotta Get Thru This - D'N'D Radio Edit,161240,FALSE,2002,56,7,133.592,pop
Coldplay,Clocks,307879,FALSE,2002,79,5,130.97,"rock, pop"
Missy Elliott,Work It,263226,TRUE,2002,70,1,101.868,"hip hop, pop, R&B"
Ronan Keating,If Tomorrow Never Comes,214306,FALSE,2002,60,10,79.01,"pop, rock"
Big Tymers,Still Fly,335613,TRUE,2002,64,11,177.928,"hip hop, pop"
Creed,My Sacrifice,294600,FALSE,2001,69,2,146.349,"pop, rock, metal"
Ja Rule,Always On Time,245133,TRUE,2001,73,5,96.673,"hip hop, pop, R&B"
Ashanti,Foolish,227386,TRUE,2002,70,0,90.119,"hip hop, pop, R&B"
Avril Lavigne,Sk8er Boi,204000,FALSE,2002,75,0,149.937,pop
DJ Sammy,Heaven,233600,FALSE,2002,63,8,137.965,pop
Britney Spears,"I'm Not a Girl, Not Yet a Woman",231066,FALSE,2001,58,3,78.996,pop
Cam’ron,Oh Boy,204706,TRUE,2002,67,6,83.014,"hip hop, pop"
Red Hot Chili Peppers,By the Way,216933,FALSE,2002,73,0,122.444,rock
Elvis Presley,A Little Less Conversation - JXL Radio Edit Remix,211506,FALSE,2002,60,4,114.999,"rock, easy listening"
Atomic Kitten,The Tide Is High - Radio Mix,206093,FALSE,2002,65,7,103.997,pop
*NSYNC,Girlfriend,253600,FALSE,2001,50,0,93.967,pop
Robbie Williams,Somethin' Stupid,170493,FALSE,2001,64,0,106.191,"pop, rock"
Alanis Morissette,Hands Clean,269400,FALSE,2002,57,7,99.952,"pop, Folk/Acoustic"
